manufacturer,processor_family,code_name,feature_size,channel_length,vdd_low,vdd_high,Vdd,clock,hw_ncores,tdp_W,transistors_million,die_size_mm2,year,heat_densit_Wpercm2
Intel,Xeon,Irwindale,,,1.2875,1.3875,1.3375,3600,1,110,169,135,,81.48148148
Intel,Xeon,Irwindale,,,1.25,1.388,1.319,3600,1,110,169,135,,81.48148148
Intel,Xeon,Irwindale,,,1.2875,1.3875,1.3375,3800,1,110,169,135,,81.48148148
Intel,Xeon,Cranford,,,1.2875,1.4,1.34375,3660,1,110,125,112,,98.21428571
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2130,1,73,125,112,,65.17857143
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2260,1,73,125,112,,65.17857143
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2260,1,73,125,112,,65.17857143
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2400,1,73,125,112,,65.17857143
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2530,1,73,125,112,,65.17857143
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2530,1,84,125,112,,75
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2530,1,84,125,112,,75
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2660,1,73,125,112,,65.17857143
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2660,1,84,125,112,,75
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2660,1,84,125,112,,75
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2800,1,84,125,112,,75
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2800,1,84,125,112,,75
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2930,1,73,125,112,,65.17857143
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,2930,1,84,125,112,,75
Intel,Celeron D,Prescott,,,1.25,1.4,1.325,3060,1,73,125,112,,65.17857143
