"Name_of_Satellite_Alternate_Names"	Country/Org_of_UN_Registry	Country_of_Operator_Owner	Operator/Owner	Users	Purpose	Detailed_Purpose	Class_of_Orbit	Type_of_Orbit	Longitude_of_GEO_degrees	Perigee_km	Apogee_km	Eccentricity	Inclination_degrees	Period_minutes	Launch_Mass_kg	Dry_Mass_kg	Power_watts	Date_of_Launch	Expected_Lifetime	Contractor	Country_of_Contractor	Launch_Site	Launch_Vehicle	COSPAR_Number	NORAD_Number	Comments		Source_Used_for_Orbital_Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																											
AAUSat-5_Aalborg_University_Cubesat_5	NR_12/15	Denmark	Aalborg_University	Civil	Communications	Automatic_Identification_System_AIS	LEO	Non-Polar_Inclined	0	395	409	1.03E-03	51.64	92.6	1			2015/10/2		Aalborg_University	Denmark	International_Space_Station	Nanorack_Deployer	1998-067GZ	40948	Main_goal_is_to_test_a_AIS_receiver_built_by_students.		JM/12_15	http://amsat-uk.org/tag/aausat-5/	http://www.space.aau.dk/aausat5/	http://www.planet4589.org/space/log/satcat.txt																																																																																																																																																																																																																														
"ABS-2_Koreasat-8_ST-3"	NR	Multinational	Asia_Broadcast_Satellite_Ltd.	Commercial	Communications		GEO		75	"35778"	"35793"	1.78E-04	0.08	1436.03	"6330"		"16000"	2014/2/6	15	Space_Systems/Loral	USA	Guiana_Space_Center	Ariane__5_ECA	2014-006A	39508	"32_C-band_51_Ku-band_and_6_Ka-band_transponders._$214_million_lawsuit_for_bad_beam."		ZARYA	http://www.absatellite.net/satellite-fleet/?sat=abs6	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	http://www.absatellite.net/2010/10/13/asia-broadcast-satellite-signs-abs-2-satellite-manufacturing-contract-with-space-systemsloral/	http://www.spacenews.com/article/satellite-telecom/42218abs-files-214-million-insurance-claim-for-bad-satellite-beam																																																																																																																																																																																																																													
"ABS-3_Agila_2_Mabuhay_1"	Philippines	Multinational	Asia_Broadcast_Satellite_Ltd.	Commercial	Communications		GEO		146.06	"35769"	"35802"	3.91E-04	0.05	1436.07	"3775"	"1800"	"9000"	1997/8/19	15	Space_Systems/Loral	USA	Xichang_Satellite_Launch_Center	Long_March_CZ3B	1997-042A	24901	"Most_powerful_telecommunications_satellite_in_service_in_the_Asia-Pacific_region;_30_C-band_24_Ku-band_transponders;_190_high_fidelity_channels_and_50000_simultaneous_telephone_links."		JM/12_08	http://www.mabuhaysat.com/sat&net.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx526.html	http://www.absatellite.net/about/index.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																													
ABS-3A_	NR	Multinational	Asia_Broadcast_Satellite_Ltd.	Commercial	Communications		GEO		-3	"35788"	"35803"	1.78E-04	0.1	1436	"2000"			2015/3/2	15	Boeing_Satellite_Systems		Cape_Canaveral	Falcon_9	2015-010A	40424	Coverage_of_Americas_Europe_and_Africa.			http://www.absatellite.net/satellite-fleet/?sat=abs3a	http://spaceflightnow.com/2015/03/17/innovative-satellites-begin-maneuvers-with-all-electric-thrusters/																																																																																																																																																																																																																															
"ABS-4_ABS-2i_MBSat_Mobile_Broadcasting_Satellite_Han_Byul"	NR	Multinational	Asia_Broadcast_Satellite_Ltd.	Commercial	Communications		GEO		75	"35780"	"35793"	1.54E-04	0.01	1436.1	"4143"	"1700"	"7400"	2004/3/13	12	Space_Systems/Loral	USA	Cape_Canaveral	Atlas_3	2004-007A	28184	Purchased_by_ABS_in_2013.		JM/12_08	http://www.absatellite.net/satellite-fleet/?sat=abs2		http://space.skyrocket.de/doc_sdat/mbsat-1.htm																																																																																																																																																																																																																														
"ABS-6_ABS-1_LMI-1_Lockheed_Martin-Intersputnik-1"	NR	Multinational	Asia_Broadcast_Satellite_Ltd.	Commercial	Communications		GEO		159	"35777"	"35794"	2.02E-04	0.01	1436.08	"2894"	"1730"	"6800"	1999/9/26	15	Lockheed_Martin	USA	Baikonur_Cosmodrome	Proton	1999-053A	25924	"28_C-band_16_Ku-band;_business_services_public_voice_and_data_services_broadcasting_direct-to-home;_Eastern_Europe_CIS_South_and_Southeast_Asia_Africa_Middle_East_Australia."		JM/12_08	http://www.washingtonpost.com/wp-dyn/articles/A18888-2004May11.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx551.html	http://www.interpsputnik.com/1mi1chars.shtml	http://www.intersputnik.com/press_270999.htm	http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf																																																																																																																																																																																																																												
"ABS-7_Koreasat_3_Mugungwha_3"	South_Korea	Multinational	Asia_Broadcast_Satellite_Ltd.	Commercial	Communications		GEO		116.18	"35780"	"35791"	1.30E-04	0.01	1436.06	"3500"	"1800"	"4800"	1999/9/4	15	Lockheed_Martin_Astro_Space	USA	Guiana_Space_Center	Ariane	1999-046A	25894	"30_Ku-band_6_Ka-band;_Korean_peninsula_the_Japanese_archipelago_and_parts_of_China_and_Russia."		JM/12_08	http://www.planet4589.org/space/jsr/back/news.407	http://lmms.external.lmco.com/newsbureau/pressreleases/1999/99.202.html	http://www.kt.co.kr/eng/biz_info/satellite_biz/system/koreasat3.html			http://www.absatellite.net/about/index.html																																																																																																																																																																																																																											
"Advanced_Orion_2_NROL_6_USA_139"	USA	USA	National_Reconnaissance_Office_NRO	Military	Earth_Observation	Electronic_Intelligence	GEO		-14.5	"35560"	"36013"	5.37E-03	7.72	1436.14	"4500"			1998/5/9		TRW_Space_and_Electronics	USA	Cape_Canaveral	Titan_IVA	1998-029A	25336	ELINT.		JM/12_08	http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-1998.html#Orion	http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm	http://www.msnbc.com/news/185953.asp#BODY	http://www.lib.cas.cz/www/space.40/1990/097B.HTM																																																																																																																																																																																																																													
"Advanced_Orion_3_NROL_19_USA_171"	USA	USA	National_Reconnaissance_Office_NRO	Military	Earth_Observation	Electronic_Intelligence	GEO		95.4	"35589"	"35984"	4.68E-03	3.2	1436.1	"4500"			2003/9/9		TRW_Space_and_Electronics	USA	Cape_Canaveral	Titan_IV	2003-041A	27937	Electronic_intelligence_ELINT._		JM/12_08	http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2003.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx599.html	http://www.fsri.org/FSRI%20Archives/Aerospace%20News/Aerospace%20Update%2009-15-03.pdf	http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm	http://www.lib.cas.cz/knav/space.40/2003/041A.HTM																																																																																																																																																																																																																												
"Advanced_Orion_4_NRO_L-26_USA_202"	USA	USA	National_Reconnaissance_Office_NRO	Military	Earth_Observation	Electronic_Intelligence	GEO		44	"35714"	"35937"	2.64E-03	2.89	1438.8	"5000"			2009/1/18		National_Reconnaissance_Laboratory_?	USA	Cape_Canaveral	Delta_4_Heavy	2009-001A	33490	ELINT.		SC_-_ASCR	http://www.globalsecurity.org/space/systems/trumpet.htm	http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html	http://www.sworld.com.au/steven/space/usmil-man.txt	http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/																																																																																																																																																																																																																													
